removed_asset_id,assets_impacted,total_delta_m,max_delta_m,betweenness
A002,4,1036.64,452.7,0.2
A005,2,918.66,459.33,0.1
A001,0,0.0,0.0,0.0
A003,0,0.0,0.0,0.0
A004,0,0.0,0.0,0.0
A007,0,0.0,0.0,0.0
